(ibibio_ttscorpus5_001 "bON akam kuukpa mba.")
(ibibio_ttscorpus5_073 "mbaak oto ke ndo aNwam ke edisOp mben mme NkpO unIme ikaN ami Nkeniime ikaN ke mme udua.")
(ibibio_ttscorpus5_074 "NkOrO afIt ufOkutom odo ekenOOhO esOk adaaji umar kadi.")
(ibibio_ttscorpus5_075 "anaadONO mme NkpO mme NkpO eseehe efVnnO ibaan akpanakpan.")
(ibibio_ttscorpus5_076 "OmmO eben enam ndubehe aadiiwuO OkVk inO OmmO.")
(ibibio_ttscorpus5_077 "se akpekenam nO idVN enie ejIRe ke esIt ebaNa eJe.")
(ibibio_ttscorpus5_078 "amaanam utom edidOkkO afIt owo mbaNa utO owo emi akedotto edido ada iwuot ukara obio Nkpaeto.")
(ibibio_ttscorpus5_079 "ke edinam odo eben OwOt mme nsionsio usO ibaan ekemeke edinam NNNwam idem OmmO.")
(ibibio_ttscorpus5_080 "tONO ke eJON tutu ke usuuk ke itie unam mbet ke baNa NkpO OtuuhO NkanNkVk nJIn.")
(ibibio_ttscorpus5_081 "ekpeep mbon mfen ke akwa ibom sted daNa enie OjOhO ifiOk ebaNa daNa eben kOmpiuta enam NkpO.")
(ibibio_ttscorpus5_082 "mme itie usuan etop etre ediwOt mme ndise anamma nO ibaan ekappa etie nte NkpO mbIn je njOO.")
(ibibio_ttscorpus5_083 "adat ndatesIt udia ekpaN ekedia ikprok.")
(ibibio_ttscorpus5_084 "Nka ndatndat krOs ake naijiria ke ikpehe akwa ibom sted.")
(ibibio_ttscorpus5_085 "ufOkutom mObiid je enenbiisi.")
(ibibio_ttscorpus5_086 "ke ikpehe ediOONOke nte naija deedta.")
(ibibio_ttscorpus5_087 "sia odooho inua ikpikanna ibat ufOn ake mme anamutom ediaaha eto ukara ObOON fiktO attah.")
(ibibio_ttscorpus5_088 "ke ini OmmO ekekaaha edikise kOnsId ikpehe ukara ake ibAnO ke upenekaN.")
(ibibio_ttscorpus5_089 "ete etebom amaabo ke akpesVk odo ebooho nO emaana ese daNa ese mbet akarake mme ikpehe ukara.")
(ibibio_ttscorpus5_090 "NNNwana ndia OfOn ke ejio uwem.")
(ibibio_ttscorpus5_091 "ediOONOke ibio ibio nte akruwasan aasiak mme itie edibO mmOON esaNukwak akanna ikie itiokeet.")
(ibibio_ttscorpus5_092 "ufOk fedraad sekriteriad ke ujo amaabuuro eti eti ke idaha mbon napep ke ikpehe ujo.")
(ibibio_ttscorpus5_093 "abasi mbOk JaaNa ubon owo.")
(ibibio_ttscorpus5_094 "mma teedma Nwokedi.")
(ibibio_ttscorpus5_095 "ejauwOt afIt se akenam ke ndIbe aNwa aNwa.")
(ibibio_ttscorpus5_096 "ideppedep.")
(ibibio_ttscorpus5_097 "ke ini ekebIppe OmmO mme mbuumo ke abaNa itie odo.")
(ibibio_ttscorpus5_098 "ke mme mfIna ake mme ibaan ufOkndO ajaamaana afeere.")
(ibibio_ttscorpus5_099 "amaadido se ekokonno eda ekIt koo.")
(ibibio_ttscorpus5_100 "abaaha ke ekamba ufOkNwet ntaifiOk nnamdi asikiwe ke Oka.")
(ibibio_ttscorpus5_101 "ndion ke mbre adiiNwam ke utO nneeNeidem ami.")
(ibibio_ttscorpus5_102 "ke ntak inem mmIn je ukOt emi OmmO ekedatta nte akpan ufan OmmO.")
(ibibio_ttscorpus5_103 "kpa ntro Nko ke akaisaN anenekke atuut OfON ufVhO OfVk idem OmO.")
(ibibio_ttscorpus5_104 "ebo jak ukara enam mbet ebaNa mme eduuwem ake mmiijakka ibaan ekop inemuwem je nsONidem.")
(ibibio_ttscorpus5_105 "tOONO ke Nkanika itiaita ubahausen mbaak ediOONO mme mme anamutom kOfmen enam ujo eekenOOhO.")
(ibibio_ttscorpus5_106 "mmuudiaha unO usan.")
(ibibio_ttscorpus5_107 "mme itie akeododo ke sted.")
(ibibio_ttscorpus5_108 "mma duisa ubOON amaadian do obo ke Nketi eseNwa odo NkpO uto ake OsObOke eti eti.")
(ibibio_ttscorpus5_109 "okop ujVkkO abaNa utom akaahaiso ke usVN itu mbon usO mme arosukwu.")
(ibibio_ttscorpus5_110 "fOn ido jem NkpO mfen dia.")
(ibibio_ttscorpus5_111 "unek unek je uNwON NkpO ke mme ufOk udia uwem emi ekedidakka kwa efaak kwa efaak ke idVN.")
(ibibio_ttscorpus5_112 "eJe amaasua OnO ubiON utIre utom.")
(ibibio_ttscorpus5_113 "akedooho Nkanika abee itiaba.")
(ibibio_ttscorpus5_114 "edet itohoakwa.")
(ibibio_ttscorpus5_115 "ekebaaha ke ndopnda ke NkpO nte isua iba mme akanna odo.")
(ibibio_ttscorpus5_116 "ndion ekpak ufOkmbet ukara sted ebo nO enam mbet.")
(ibibio_ttscorpus5_117 "OJVN ataN obo nO afIt mbon Nka odo edian ubOk emenne utom sednet.")
(ibibio_ttscorpus5_118 "kuufeRe ke idomo mme ke ukuut.")
(ibibio_ttscorpus5_119 "nsikak eduOk amaataN ke adiJeeJIk mbon abasi mbo nO esIn ubOk ke ekpat.")
(ibibio_ttscorpus5_120 "iibohoke ke iwuot afIt ibaan.")
(ibibio_ttscorpus5_121 "ana ekop nsONidem odo OjOhO OjOhO ke ifuuro uwem.")
(ibibio_ttscorpus5_122 "ekUriku odo akwa owo eto.")
(ibibio_ttscorpus5_123 "mmOON idIm ukana amaasideNNe.")
(ibibio_ttscorpus5_124 "usioudat usioudat.")
(ibibio_ttscorpus5_125 "ke ukara ebiooro adisIn uNwam nnOO ufOkNwet ukpeep mme OkwOrOikO ke mme utom NkOt adidIppe ufOkNwet odo.")
(ibibio_ttscorpus5_126 "eJe ikifreke ediwakka ufOk abasi NkebON akam nJVN NkOOm abasi ke uNwam je ndausVN OmO.")
(ibibio_ttscorpus5_127 "ete edet nduoJoi.")
(ibibio_ttscorpus5_128 "aNwaan mme ebe emi emaewOt ima ke adikpIkke kek ndO nnO keet eken.")
(ibibio_ttscorpus5_129 "enam nO ibaan enie nnImnnOidem.")
(ibibio_ttscorpus5_130 "rattawu.")
(ibibio_ttscorpus5_131 "itie unam spOOt.")
(ibibio_ttscorpus5_132 "eJe amaanO ufOk uman ake ufOk abasi odo beed nnaa anieehe sibriN duopeba.")
(ibibio_ttscorpus5_133 "eJe amaabo ke ufOkNwet odo osiooNo mme oku abasi ke mme nsio nsio ufOk abasi mme ikpehe.")
(ibibio_ttscorpus5_134 "amaataN obo ke udON adikpVRO aJIN ufOk abasi odo ikitooho ndausVN ake sibidIt abasi.") 
(ibibio_ttscorpus5_135 "emaetaN esVk eketuuk ndoom se ekON eseedoom ibaan je ntAkejIn.")
(ibibio_ttscorpus5_136 "ke obio kopenhakIn.")
(ibibio_ttscorpus5_137 "esion enaN ke enaN Ojuup isIm.")
(ibibio_ttscorpus5_138 "eJe amaabo nO ibaan ke eJaaJaan ukot etie ebet NkpO atIppe.")
(ibibio_ttscorpus5_139 "mbVkemi ekedikoppo edemusen udian Nwet ufa eJIN owo emi.")
(ibibio_ttscorpus5_140 "ndion eJe amaaseemme obo ke mme ikpO owo ufOkutom odo ekebo ke eJIN imO isIneke ke otu mbon se ijem ibO OkVk.")
(ibibio_ttscorpus5_141 "edu ndutVm abo ete ke akpesVk odo ibaan esInne ifIk ataa etieti ke edi Nwana idem ke afItafIt usVN.")
(ibibio_ttscorpus5_142 "amaawVt inemesIt abaNa adido keet ke otu mbon ekoodo ebo edisIn uNwam enO ufOkNwet odo.")
(ibibio_ttscorpus5_143 "usujak siriid.")
(ibibio_ttscorpus5_144 "emi idIm emi miikiwereke ikpO eto se afIm je edIm ekewIp.")
(ibibio_ttscorpus5_145 "akeene daNa mmimO ikisIn ifIk iben NkpOutom ake ukara sted ekenOOhO ke isua ifaN oboijoke ko.")
(ibibio_ttscorpus5_146 "ete sOnde ntuenibOk akedo akpaowo ediwuO Nkeda ke itie OmO.")
(ibibio_ttscorpus5_147 "ekedombVk mme owo se ikama ekpU iJam urua.")
(ibibio_ttscorpus5_148 "amaakoot abaNa mfIna ake mme ufOkutom unONNOmbVk esinieNeke ke ufOOt edinam OjOhO utom OmmO.")
(ibibio_ttscorpus5_149 "eJVN enam NkpO ke nnennen usVN.")
(ibibio_ttscorpus5_150 "eJe amaabo ke aNwaan OmO amaafeRe OkpON eJe OnO eka OmO.") 
(ibibio_ttscorpus5_151 "ataifiOk edwOd attah.") 
(ibibio_ttscorpus5_152 "enO ekikere ebaNa ntak ekpenamma nO ibaan ekeene ewana ke NkOOk iwuot je edinam mbet ke afIt idaha.") 
(ibibio_ttscorpus5_153 "mma kift sitifIns amaadian obo.") 
(ibibio_ttscorpus5_154 "odooho oku maikeed udO dian mme oku kebreed ekON.")
(ibibio_ttscorpus5_155 "akeene OkpOsON odudu aamme itie usuan etop emi eniehe.") 
(ibibio_ttscorpus5_156 "eJe amaajaara obo ke ukara eJem ajaadiON afIt usVN anieehe ukara idIt nJIn ke naijiria.")
(ibibio_ttscorpus5_157 "ikanna eke mbon ekemVmmO eJe.")
(ibibio_ttscorpus5_158 "idooho se Nkan NkVppO inua aba.")
(ibibio_ttscorpus5_159 "ke idak ikpehe ukara OrVk anam.")
(ibibio_ttscorpus5_160 "idooho owo OdOON akam OnO okoedi.")
(ibibio_ttscorpus5_161 "mma brOf ikisitreke edinO owo etAk ndedeN NkpO adidep itON ntie mbet brOf.")
(ibibio_ttscorpus5_162 "akpesVk odo ibaan ikie ition kpOt eketo naijiria eka mbono odo ke beijiN.")
(ibibio_ttscorpus5_163 "akedaaha ke iwuot njobio owo henri okomah.") 
(ibibio_ttscorpus5_164 "eJe amaabo ke ekenam akwa ibom sted mbaak oto ke ndo edIppe idaha mme idVN ke afaN uforo.") 
(ibibio_ttscorpus5_165 "ke ubOk mmVm ubOk mmVm ke ufOk ndO ebe je aNwaan.") 
